Date,Time,I_DC,V_DC,LineSpeed,Power_Out,V_Out
04/09/2023,17:33:31,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:32,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:33,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:34,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:35,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:36,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:37,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:38,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:39,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:40,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:41,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:42,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:43,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:44,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:45,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:46,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:47,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:48,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:49,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:50,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:51,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:52,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:53,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:54,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:55,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:56,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:57,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:58,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:33:59,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:00,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:01,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:02,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:03,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:04,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:05,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:07,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:08,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:09,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:10,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:11,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:12,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:13,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:14,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:15,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:16,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:17,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:18,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:19,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:20,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:21,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:22,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:23,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:24,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:25,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:26,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:27,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:28,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:29,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:30,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:31,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:32,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:34:33,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:37,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:38,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:39,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:40,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:41,0.00,0.00,0.00,0.00,0.00
